terminalId,portId,terminalCode,terminalName,terminalType,operatorName,latitude,longitude,isActive,totalBerths
1,1,SGSIN-CT01,Deep Water Container Terminal,Container,PSA International,1.2496,103.8297,TRUE,5
2,1,SGSIN-CT02,Main Container Terminal 2,Container,PSA International,1.2453,103.8295,TRUE,3
3,1,SGSIN-CT03,Container Terminal 3,Container,Eurogate,1.2648,103.8214,TRUE,8
4,1,SGSIN-CT04,West Container Terminal,Container,PSA International,1.2672,103.8081,TRUE,8
5,1,SGSIN-BT01,Iron Ore Terminal,Bulk,PSA International,1.2688,103.822,TRUE,4
6,1,SGSIN-GT01,General Cargo Terminal 1,General,PSA International,1.2597,103.8377,TRUE,2
7,1,SGSIN-RT01,Car Carrier Terminal,RoRo,PSA International,1.262,103.8167,FALSE,3
8,1,SGSIN-PT01,Passenger Terminal,Passenger,PSA International,1.2641,103.8065,TRUE,1
9,2,CNSHA-CT01,Container Terminal 1,Container,COSCO Shipping Ports,31.2442,121.4934,TRUE,5
10,2,CNSHA-CT02,Gateway Container Terminal,Container,COSCO Shipping Ports,31.235,121.4887,TRUE,8
11,2,CNSHA-CT03,South Container Terminal,Container,CMA CGM Terminals,31.2396,121.4634,TRUE,7
12,2,CNSHA-CT04,Gateway Container Terminal,Container,China Merchants Port,31.2455,121.456,TRUE,4
13,2,CNSHA-BT01,Minerals Terminal,Bulk,COSCO Shipping Ports,31.2319,121.4542,TRUE,2
14,2,CNSHA-GT01,Breakbulk Terminal,General,Multipurpose Terminal,31.2204,121.4805,TRUE,4
15,3,CNSZX-CT01,South Container Terminal,Container,COSCO Shipping Ports,22.4922,113.9155,TRUE,7
16,3,CNSZX-CT02,South Container Terminal,Container,Ningbo Zhoushan Port Co,22.489,113.9194,TRUE,6
17,3,CNSZX-CT03,North Container Terminal,Container,Shanghai International Port Group,22.4646,113.9011,TRUE,3
18,3,CNSZX-CT04,North Container Terminal,Container,Ningbo Zhoushan Port Co,22.4613,113.9112,TRUE,6
19,3,CNSZX-BT01,Dry Bulk Terminal,Bulk,Rio Tinto Terminal,22.4987,113.9004,TRUE,5
20,3,CNSZX-GT01,Heavy Lift Terminal,General,Shanghai International Port Group,22.4751,113.8932,TRUE,4
21,3,CNSZX-RT01,Auto Terminal,RoRo,Höegh Autoliners Terminal,22.4884,113.9154,TRUE,4
22,3,CNSZX-PT01,International Cruise Terminal,Passenger,Port Authority Cruise Terminal,22.4642,113.9103,TRUE,1
23,3,CNSZX-MPT01,Universal Terminal,Multi-Purpose,Ningbo Zhoushan Port Co,22.4736,113.9179,TRUE,4
24,3,CNSZX-BT02,Dry Bulk Terminal,Bulk,COSCO Shipping Ports,22.4754,113.9289,TRUE,5
25,4,CNNBO-CT01,Gateway Container Terminal,Container,COSCO Shipping Ports,29.8593,121.5379,TRUE,5
26,4,CNNBO-CT02,International Container Terminal 2,Container,Ningbo Zhoushan Port Co,29.8692,121.5639,TRUE,3
27,4,CNNBO-CT03,International Container Terminal 3,Container,China Merchants Port,29.8497,121.5242,TRUE,7
28,4,CNNBO-CT04,East Container Terminal,Container,China Merchants Port,29.8563,121.5249,TRUE,6
29,4,CNNBO-BT01,Dry Bulk Terminal,Bulk,Cargill Terminal,29.8747,121.5445,TRUE,5
30,4,CNNBO-GT01,Project Cargo Terminal,General,COSCO Shipping Ports,29.8733,121.5638,TRUE,4
31,5,CNQIN-CT01,South Container Terminal,Container,COSCO Shipping Ports,36.0551,120.3831,TRUE,6
32,5,CNQIN-CT02,Main Container Terminal 2,Container,Terminal Investment Limited,36.0506,120.3652,TRUE,8
33,5,CNQIN-CT03,Gateway Container Terminal,Container,COSCO Shipping Ports,36.0825,120.3904,TRUE,7
34,5,CNQIN-CT04,Main Container Terminal 4,Container,Ningbo Zhoushan Port Co,36.0676,120.3817,TRUE,3
35,5,CNQIN-BT01,Grain Terminal,Bulk,Ningbo Zhoushan Port Co,36.0664,120.3849,TRUE,3
36,5,CNQIN-GT01,Breakbulk Terminal,General,Ningbo Zhoushan Port Co,36.0813,120.3987,TRUE,2
37,6,CNTXG-CT01,Deep Water Container Terminal,Container,Gulftainer,38.9908,117.7432,TRUE,6
38,6,CNTXG-CT02,North Container Terminal,Container,Shanghai International Port Group,39.0034,117.7395,FALSE,8
39,6,CNTXG-BT01,Coal Terminal,Bulk,ADM Terminal,38.9673,117.75,TRUE,2
40,6,CNTXG-GT01,Breakbulk Terminal,General,Ningbo Zhoushan Port Co,38.9758,117.7347,TRUE,2
41,6,CNTXG-LT01,Tank Terminal,Liquid,Shell Terminal,38.9692,117.7329,TRUE,4
42,7,CNXMN-CT01,International Container Terminal 1,Container,CMA CGM Terminals,24.4627,118.1087,TRUE,7
43,7,CNXMN-CT02,Gateway Container Terminal,Container,COSCO Shipping Ports,24.4395,118.1057,TRUE,7
44,7,CNXMN-BT01,Agri-Bulk Terminal,Bulk,Port Authority,24.4665,118.0789,TRUE,5
45,7,CNXMN-GT01,General Cargo Terminal 1,General,Ningbo Zhoushan Port Co,24.4465,118.0798,TRUE,4
46,8,HKHKG-CT01,Main Container Terminal 1,Container,ICTSI,22.2728,114.1409,TRUE,4
47,8,HKHKG-CT02,International Container Terminal 2,Container,Gulftainer,22.2669,114.1725,TRUE,6
48,8,HKHKG-CT03,West Container Terminal,Container,Port Authority,22.2821,114.1495,TRUE,6
49,8,HKHKG-CT04,North Container Terminal,Container,PSA International,22.2844,114.1647,TRUE,7
50,8,HKHKG-BT01,Minerals Terminal,Bulk,Port Authority,22.2799,114.1692,TRUE,5
51,8,HKHKG-GT01,Project Cargo Terminal,General,Port Authority General Cargo,22.2891,114.15,TRUE,2
52,8,HKHKG-RT01,Vehicle Terminal,RoRo,NYK RoRo Terminal,22.2717,114.1498,TRUE,2
53,8,HKHKG-PT01,Passenger Terminal,Passenger,Port Authority,22.2788,114.1435,TRUE,1
54,9,KRPUS-CT01,East Container Terminal,Container,Terminal Investment Limited,35.0843,129.0592,TRUE,6
55,9,KRPUS-CT02,North Container Terminal,Container,Terminal Investment Limited,35.12,129.0587,TRUE,8
56,9,KRPUS-CT03,Container Terminal 3,Container,Terminal Investment Limited,35.1175,129.0273,TRUE,4
57,9,KRPUS-CT04,East Container Terminal,Container,ICTSI,35.1216,129.0527,TRUE,8
58,9,KRPUS-BT01,Bulk Cargo Terminal 1,Bulk,Bunge Terminal,35.1059,129.0545,TRUE,5
59,9,KRPUS-GT01,General Cargo Terminal 1,General,Breakbulk Terminal,35.1053,129.0481,TRUE,4
60,10,JPYOK-CT01,Container Terminal 1,Container,Hutchison Ports,35.4407,139.6259,TRUE,3
61,10,JPYOK-CT02,South Container Terminal,Container,Port Authority,35.4521,139.6334,TRUE,8
62,10,JPYOK-BT01,Grain Terminal,Bulk,Port Authority,35.427,139.6198,TRUE,4
63,10,JPYOK-GT01,Project Cargo Terminal,General,Breakbulk Terminal,35.4613,139.6566,TRUE,2
64,10,JPYOK-LT01,Fuel Terminal,Liquid,Port Authority,35.434,139.6483,TRUE,2
65,11,JPTYO-CT01,Main Container Terminal 1,Container,APM Terminals,35.6054,139.7651,TRUE,5
66,11,JPTYO-CT02,International Container Terminal 2,Container,Evergreen Marine,35.6376,139.7798,TRUE,7
67,11,JPTYO-BT01,Grain Terminal,Bulk,Cargill Terminal,35.6219,139.7886,TRUE,2
68,11,JPTYO-GT01,General Cargo Terminal 1,General,Breakbulk Terminal,35.6335,139.7619,TRUE,4
69,12,JPKOB-CT01,South Container Terminal,Container,COSCO Shipping Ports,34.7048,135.2101,TRUE,7
70,12,JPKOB-CT02,Container Terminal 2,Container,MSC Terminal,34.7064,135.1799,TRUE,4
71,12,JPKOB-BT01,Bulk Cargo Terminal 1,Bulk,Port Authority,34.7054,135.1992,TRUE,3
72,12,JPKOB-GT01,Project Cargo Terminal,General,Port Authority,34.6778,135.1942,TRUE,4
73,12,JPKOB-LT01,Fuel Terminal,Liquid,Port Authority,34.6916,135.2111,TRUE,3
74,12,JPKOB-RT01,Vehicle Terminal,RoRo,Port Authority,34.6924,135.2071,TRUE,3
75,13,JPNGO-CT01,South Container Terminal,Container,PSA International,35.0779,136.8719,TRUE,4
76,13,JPNGO-CT02,East Container Terminal,Container,Terminal Investment Limited,35.087,136.8632,TRUE,5
77,13,JPNGO-BT01,Dry Bulk Terminal,Bulk,Port Authority Bulk,35.0897,136.8888,TRUE,4
78,13,JPNGO-GT01,Project Cargo Terminal,General,Port Authority General Cargo,35.0681,136.8884,TRUE,4
79,14,TWKHH-CT01,Gateway Container Terminal,Container,Evergreen Marine,22.6254,120.2866,TRUE,6
80,14,TWKHH-CT02,Container Terminal 2,Container,Hutchison Ports,22.6106,120.2655,TRUE,7
81,14,TWKHH-BT01,Iron Ore Terminal,Bulk,ADM Terminal,22.5964,120.2697,TRUE,3
82,14,TWKHH-GT01,Project Cargo Terminal,General,Multipurpose Terminal,22.6032,120.2969,TRUE,3
83,14,TWKHH-LT01,Oil Terminal,Liquid,Chevron Terminal,22.6244,120.2783,TRUE,3
84,15,TWTPE-CT01,Deep Water Container Terminal,Container,APM Terminals,25.1407,121.7236,TRUE,4
85,15,TWTPE-CT02,Main Container Terminal 2,Container,Terminal Investment Limited,25.1689,121.7378,TRUE,8
86,15,TWTPE-BT01,Minerals Terminal,Bulk,Glencore Terminal,25.1491,121.7467,TRUE,5
87,15,TWTPE-GT01,Breakbulk Terminal,General,Multipurpose Terminal,25.1468,121.7507,TRUE,3
88,15,TWTPE-LT01,Liquid Bulk Terminal 1,Liquid,Oiltanking,25.145,121.7206,TRUE,2
89,16,MYKLG-CT01,Main Container Terminal 1,Container,COSCO Shipping Ports,2.9852,101.3818,TRUE,6
90,16,MYKLG-CT02,Gateway Container Terminal,Container,Gulftainer,3.0005,101.4182,TRUE,6
91,16,MYKLG-BT01,Bulk Cargo Terminal 1,Bulk,Glencore Terminal,3.0091,101.4153,TRUE,4
92,16,MYKLG-GT01,General Cargo Terminal 1,General,Port Authority,2.9854,101.3806,TRUE,4
93,16,MYKLG-LT01,Petroleum Terminal,Liquid,ADNOC Terminal,2.9898,101.4003,TRUE,3
94,16,MYKLG-RT01,Car Carrier Terminal,RoRo,Port Authority,3.0105,101.4038,TRUE,3
95,17,MYTPP-CT01,International Container Terminal 1,Container,COSCO Shipping Ports,1.3599,103.5308,TRUE,3
96,17,MYTPP-CT02,Main Container Terminal 2,Container,Terminal Investment Limited,1.3498,103.5698,TRUE,5
97,17,MYTPP-BT01,Iron Ore Terminal,Bulk,Cargill Terminal,1.3509,103.5662,TRUE,2
98,17,MYTPP-GT01,Breakbulk Terminal,General,Port Authority General Cargo,1.3494,103.5615,TRUE,4
99,18,VNSGN-CT01,West Container Terminal,Container,SSA Marine,10.7405,106.7368,TRUE,8
100,18,VNSGN-CT02,West Container Terminal,Container,Eurogate,10.7544,106.7479,FALSE,5
101,18,VNSGN-BT01,Dry Bulk Terminal,Bulk,Bunge Terminal,10.7388,106.7385,TRUE,2
102,18,VNSGN-GT01,Heavy Lift Terminal,General,Breakbulk Terminal,10.7639,106.7416,TRUE,4
103,18,VNSGN-LT01,Oil Terminal,Liquid,Saudi Aramco Terminal,10.7377,106.7495,TRUE,2
104,19,VNHPH-CT01,Main Container Terminal 1,Container,ICTSI,20.8292,106.6953,TRUE,6
105,19,VNHPH-CT02,East Container Terminal,Container,DP World,20.8513,106.6937,TRUE,5
106,19,VNHPH-BT01,Grain Terminal,Bulk,Rio Tinto Terminal,20.8547,106.6887,TRUE,2
107,19,VNHPH-GT01,Breakbulk Terminal,General,Port Authority,20.8555,106.6791,TRUE,3
108,20,THLCH-CT01,South Container Terminal,Container,Evergreen Marine,13.068,100.8893,FALSE,7
109,20,THLCH-CT02,Container Terminal 2,Container,PSA International,13.0748,100.8943,TRUE,7
110,20,THLCH-BT01,Bulk Cargo Terminal 1,Bulk,Bunge Terminal,13.0871,100.8932,TRUE,3
111,20,THLCH-GT01,Breakbulk Terminal,General,Breakbulk Terminal,13.0821,100.8643,TRUE,4
112,20,THLCH-LT01,Crude Oil Terminal,Liquid,ExxonMobil Terminal,13.0803,100.8817,TRUE,5
113,21,THBKK-CT01,North Container Terminal,Container,Eurogate,13.7164,100.5867,TRUE,3
114,21,THBKK-CT02,Main Container Terminal 2,Container,Gulftainer,13.7134,100.5948,TRUE,8
115,21,THBKK-BT01,Minerals Terminal,Bulk,Cargill Terminal,13.6821,100.5846,TRUE,2
116,21,THBKK-GT01,General Cargo Terminal 1,General,Port Authority General Cargo,13.7115,100.5611,TRUE,2
117,21,THBKK-LT01,Liquid Bulk Terminal 1,Liquid,Port Authority,13.7083,100.5785,TRUE,3
118,21,THBKK-RT01,Ferry Terminal,RoRo,Port Authority,13.6849,100.598,TRUE,2
119,22,IDTPP-CT01,International Container Terminal 1,Container,Eurogate,-6.1007,106.8823,TRUE,6
120,22,IDTPP-CT02,East Container Terminal,Container,Evergreen Marine,-6.1173,106.8699,TRUE,3
121,22,IDTPP-BT01,Dry Bulk Terminal,Bulk,Port Authority,-6.0896,106.896,TRUE,2
122,22,IDTPP-GT01,Breakbulk Terminal,General,Breakbulk Terminal,-6.1219,106.8983,TRUE,3
123,23,IDSUB-CT01,Deep Water Container Terminal,Container,DP World,-7.181,112.7156,TRUE,6
124,23,IDSUB-CT02,East Container Terminal,Container,MSC Terminal,-7.1961,112.7206,TRUE,8
125,23,IDSUB-BT01,Grain Terminal,Bulk,Bunge Terminal,-7.2021,112.7371,TRUE,5
126,23,IDSUB-GT01,Heavy Lift Terminal,General,Multipurpose Terminal,-7.1922,112.7516,TRUE,3
127,24,PHMNL-CT01,Gateway Container Terminal,Container,Hutchison Ports,14.59,120.9614,TRUE,5
128,24,PHMNL-CT02,North Container Terminal,Container,CMA CGM Terminals,14.5712,120.975,TRUE,6
129,24,PHMNL-BT01,Dry Bulk Terminal,Bulk,Glencore Terminal,14.5941,120.9833,TRUE,4
130,24,PHMNL-GT01,General Cargo Terminal 1,General,Port Authority,14.573,120.9845,TRUE,3
131,25,INBOM-CT01,East Container Terminal,Container,Adani Ports,18.932,72.8343,TRUE,4
132,25,INBOM-CT02,East Container Terminal,Container,CMA CGM Terminals,18.9357,72.8609,TRUE,8
133,25,INBOM-BT01,Agri-Bulk Terminal,Bulk,JSW Infrastructure,18.9158,72.8574,TRUE,3
134,25,INBOM-GT01,General Cargo Terminal 1,General,JSW Infrastructure,18.933,72.8394,TRUE,3
135,25,INBOM-LT01,Chemical Terminal,Liquid,APM Terminals Mumbai,18.9219,72.8472,TRUE,2
136,26,INNSA-CT01,West Container Terminal,Container,CMA CGM Terminals,18.9421,72.9658,TRUE,3
137,26,INNSA-CT02,North Container Terminal,Container,DP World Nhava Sheva,18.9456,72.9542,TRUE,4
138,26,INNSA-BT01,Bulk Cargo Terminal 1,Bulk,DP World Nhava Sheva,18.9643,72.9383,TRUE,3
139,26,INNSA-GT01,Breakbulk Terminal,General,APM Terminals Mumbai,18.9308,72.9395,TRUE,4
140,27,INMAA-CT01,South Container Terminal,Container,Evergreen Marine,13.0947,80.2575,TRUE,5
141,27,INMAA-CT02,Container Terminal 2,Container,JSW Infrastructure,13.0976,80.2537,TRUE,6
142,27,INMAA-BT01,Coal Terminal,Bulk,JSW Infrastructure,13.0918,80.2516,TRUE,4
143,27,INMAA-GT01,General Cargo Terminal 1,General,Port Authority General Cargo,13.0788,80.2707,TRUE,3
144,27,INMAA-LT01,Crude Oil Terminal,Liquid,DP World Nhava Sheva,13.0984,80.2583,TRUE,2
145,27,INMAA-RT01,Vehicle Terminal,RoRo,UECC Terminal,13.085,80.2732,TRUE,3
146,28,INCOK-CT01,Gateway Container Terminal,Container,ICTSI,9.9621,76.2484,TRUE,6
147,28,INCOK-CT02,Deep Water Container Terminal,Container,Port Authority,9.9858,76.2691,TRUE,7
148,28,INCOK-BT01,Dry Bulk Terminal,Bulk,Adani Ports,9.9769,76.2718,TRUE,4
149,28,INCOK-GT01,Project Cargo Terminal,General,Breakbulk Terminal,9.9655,76.2623,TRUE,2
150,29,INMUN-CT01,Gateway Container Terminal,Container,MSC Terminal,22.8285,69.7396,TRUE,3
151,29,INMUN-CT02,North Container Terminal,Container,DP World,22.8369,69.7368,TRUE,7
152,29,INMUN-BT01,Grain Terminal,Bulk,Port Authority,22.8315,69.7402,TRUE,3
153,29,INMUN-GT01,Breakbulk Terminal,General,Port Authority,22.858,69.7293,TRUE,2
154,30,INPAV-CT01,North Container Terminal,Container,APM Terminals,20.9203,71.5305,TRUE,8
155,30,INPAV-CT02,East Container Terminal,Container,Adani Ports,20.897,71.5182,TRUE,3
156,30,INPAV-BT01,Grain Terminal,Bulk,Glencore Terminal,20.9158,71.5185,TRUE,4
157,30,INPAV-GT01,Project Cargo Terminal,General,Multipurpose Terminal,20.8991,71.5328,TRUE,3
158,30,INPAV-LT01,Petroleum Terminal,Liquid,IMTT,20.9014,71.5492,TRUE,4
159,30,INPAV-RT01,RoRo Terminal 1,RoRo,K Line RoRo,20.9088,71.5384,FALSE,3
160,31,LKCMB-CT01,Deep Water Container Terminal,Container,SSA Marine,6.9592,79.8664,TRUE,4
161,31,LKCMB-CT02,Container Terminal 2,Container,APM Terminals,6.9363,79.8643,TRUE,7
162,31,LKCMB-BT01,Dry Bulk Terminal,Bulk,Port Authority,6.9589,79.845,TRUE,5
163,31,LKCMB-GT01,Project Cargo Terminal,General,Breakbulk Terminal,6.9587,79.8413,TRUE,3
164,31,LKCMB-LT01,Fuel Terminal,Liquid,IMTT,6.9314,79.8463,TRUE,4
165,32,BDCGP-CT01,West Container Terminal,Container,Hutchison Ports,22.3112,91.7869,TRUE,5
166,32,BDCGP-CT02,East Container Terminal,Container,Hutchison Ports,22.319,91.8007,TRUE,4
167,32,BDCGP-BT01,Minerals Terminal,Bulk,Cargill Terminal,22.3424,91.7925,TRUE,2
168,32,BDCGP-GT01,Breakbulk Terminal,General,Port Authority General Cargo,22.3491,91.7817,TRUE,4
169,32,BDCGP-LT01,Liquid Bulk Terminal 1,Liquid,Oiltanking,22.3151,91.7883,TRUE,2
170,32,BDCGP-RT01,Vehicle Terminal,RoRo,NYK RoRo Terminal,22.331,91.7834,TRUE,3
171,33,PKKAR-CT01,South Container Terminal,Container,SSA Marine,24.8306,66.9889,TRUE,6
172,33,PKKAR-CT02,South Container Terminal,Container,APM Terminals,24.8303,66.979,TRUE,3
173,33,PKKAR-BT01,Coal Terminal,Bulk,Cargill Terminal,24.8612,66.994,TRUE,5
174,33,PKKAR-GT01,Project Cargo Terminal,General,Multipurpose Terminal,24.854,66.9798,TRUE,3
175,34,PKQCT-CT01,East Container Terminal,Container,CMA CGM Terminals,24.7793,67.3421,TRUE,7
176,34,PKQCT-CT02,North Container Terminal,Container,DP World,24.7713,67.3365,TRUE,5
177,34,PKQCT-BT01,Minerals Terminal,Bulk,Louis Dreyfus,24.8014,67.331,TRUE,5
178,34,PKQCT-GT01,Heavy Lift Terminal,General,Multipurpose Terminal,24.783,67.3638,TRUE,4
179,35,AEJEA-CT01,East Container Terminal,Container,Gulftainer,25.0088,55.0679,TRUE,3
180,35,AEJEA-CT02,West Container Terminal,Container,Hutchison Ports,25.0038,55.0754,TRUE,7
181,35,AEJEA-LT01,Oil Terminal,Liquid,DP World,25.0132,55.0598,TRUE,5
182,35,AEJEA-LT02,Chemical Terminal,Liquid,Port Authority,25.031,55.0529,TRUE,5
183,35,AEJEA-LT03,Oil Terminal,Liquid,Abu Dhabi Ports,25.0145,55.0481,TRUE,6
184,35,AEJEA-LNG01,LNG Import Terminal,LNG,Hutchison Ports,25.0174,55.0646,TRUE,2
185,36,AEKLF-CT01,South Container Terminal,Container,Evergreen Marine,24.8071,54.5952,TRUE,3
186,36,AEKLF-CT02,Main Container Terminal 2,Container,Abu Dhabi Ports,24.8269,54.5865,TRUE,3
187,36,AEKLF-LT01,Crude Oil Terminal,Liquid,Hutchison Ports,24.8318,54.6048,TRUE,5
188,36,AEKLF-LT02,Crude Oil Terminal,Liquid,Chevron Terminal,24.8204,54.6092,TRUE,2
189,36,AEKLF-LT03,Petroleum Terminal,Liquid,Gulftainer,24.8298,54.5908,TRUE,4
190,36,AEKLF-LNG01,Gas Terminal,LNG,JERA LNG Terminal,24.8352,54.5958,TRUE,1
191,37,AERUH-CT01,East Container Terminal,Container,SSA Marine,25.2643,55.2827,TRUE,7
192,37,AERUH-CT02,West Container Terminal,Container,PSA International,25.2861,55.2758,TRUE,7
193,37,AERUH-LT01,Liquid Bulk Terminal 1,Liquid,ExxonMobil Terminal,25.2717,55.2759,TRUE,4
194,37,AERUH-LT02,Fuel Terminal,Liquid,DP World,25.2759,55.2984,FALSE,2
195,37,AERUH-LT03,Oil Terminal,Liquid,Shell Terminal,25.273,55.2659,TRUE,3
196,38,AEFJR-CT01,Main Container Terminal 1,Container,Hutchison Ports,25.1241,56.3241,TRUE,4
197,38,AEFJR-CT02,Deep Water Container Terminal,Container,DP World,25.1023,56.3428,TRUE,7
198,38,AEFJR-LT01,Fuel Terminal,Liquid,Shell Terminal,25.1061,56.3292,TRUE,3
199,38,AEFJR-LT02,Liquid Bulk Terminal 2,Liquid,Port Authority,25.1204,56.3393,TRUE,4
200,39,SAJED-CT01,South Container Terminal,Container,CMA CGM Terminals,21.4822,39.1929,TRUE,7
201,39,SAJED-CT02,East Container Terminal,Container,CMA CGM Terminals,21.4951,39.1907,TRUE,5
202,39,SAJED-LT01,Crude Oil Terminal,Liquid,Port Authority,21.4837,39.1959,TRUE,6
203,39,SAJED-LT02,Petroleum Terminal,Liquid,Shell Terminal,21.4684,39.1909,TRUE,2
204,39,SAJED-LT03,Petroleum Terminal,Liquid,Vopak Terminal,21.4871,39.1975,TRUE,6
205,39,SAJED-LNG01,Gas Terminal,LNG,Abu Dhabi Ports,21.4687,39.1968,TRUE,3
206,40,SADMM-CT01,South Container Terminal,Container,ICTSI,26.4426,50.0971,TRUE,6
207,40,SADMM-CT02,East Container Terminal,Container,Saudi Ports Authority,26.4585,50.1057,TRUE,7
208,40,SADMM-LT01,Tank Terminal,Liquid,Koole Terminals,26.4456,50.101,TRUE,6
209,40,SADMM-LT02,Crude Oil Terminal,Liquid,Saudi Aramco Terminal,26.4651,50.0851,TRUE,5
210,40,SADMM-LT03,Liquid Bulk Terminal 3,Liquid,Port Authority,26.4621,50.1067,TRUE,3
211,40,SADMM-LNG01,LNG Export Terminal,LNG,DP World,26.4591,50.0911,TRUE,2
212,41,SAKAC-CT01,South Container Terminal,Container,Abu Dhabi Ports,22.3956,39.1114,TRUE,6
213,41,SAKAC-CT02,West Container Terminal,Container,DP World,22.4085,39.1105,TRUE,3
214,41,SAKAC-LT01,Tank Terminal,Liquid,Hutchison Ports,22.4035,39.1128,TRUE,3
215,41,SAKAC-LT02,Crude Oil Terminal,Liquid,Hutchison Ports,22.4131,39.1185,TRUE,4
216,42,QAHAM-CT01,Main Container Terminal 1,Container,DP World,25.0468,51.5412,TRUE,8
217,42,QAHAM-CT02,Deep Water Container Terminal,Container,Evergreen Marine,25.0193,51.5303,TRUE,3
